,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Tuktoyaktuk,69.4541,-133.0374,46.4,76,90,10.36,CA,1631573776
154,Qandala,11.472,49.8728,91.62,48,19,8.57,SO,1631573779
155,Gao,16.6362,1.637,87.67,36,100,6.78,ML,1631573782
156,Kruisfontein,-34.0033,24.7314,53.89,96,100,1.74,ZA,1631573784
157,Ilulissat,69.2167,-51.1,20.57,93,16,3.06,GL,1631573787
158,Diego de Almagro,-26.3667,-70.05,60.64,32,1,5.79,CL,1631573791
159,Yeppoon,-23.1333,150.7333,69.58,34,8,9.04,AU,1631573750
160,Smirnykh,49.75,142.8333,50.9,64,0,6.93,RU,1631573795
161,Vao,-22.6667,167.4833,70.79,79,4,11.1,NC,1631573796
162,Inhambane,-23.865,35.3833,69.51,86,1,7.14,MZ,1631573798
163,Riyadh,24.6877,46.7219,82.54,23,5,3.36,SA,1631573506
164,Tadine,-21.55,167.8833,75.56,66,4,9.89,NC,1631573802
165,Kishtwār,33.3167,75.7667,59.41,84,0,4.09,IN,1631573804
166,Saskylakh,71.9167,114.0833,42.1,85,37,3.71,RU,1631573805
167,Virginia Beach,36.8529,-75.978,87.03,70,1,5.75,US,1631573587
168,Havelock,34.8791,-76.9013,80.98,75,0,4.0,US,1631573809
169,Remedios,22.4947,-79.5458,82.24,75,100,13.0,CU,1631573811
170,Honiara,-9.4333,159.95,86.34,63,47,8.57,SB,1631573812
171,Kavieng,-2.5744,150.7967,83.7,74,89,15.03,PG,1631573814
172,Westport,41.1415,-73.3579,82.76,62,29,3.0,US,1631573779
173,Chui,-33.6971,-53.4616,57.78,98,66,0.92,UY,1631573368
174,Yerbogachën,61.2767,108.0108,42.33,96,99,4.23,RU,1631573820
175,Lochem,52.1592,6.4111,59.9,93,91,6.87,NL,1631573822
176,Vostok,46.4856,135.8833,53.04,74,100,1.57,RU,1631573825
177,Pevek,69.7008,170.3133,34.7,98,100,7.47,RU,1631573826
178,Hauterive,46.0901,3.4459,72.36,68,64,4.56,FR,1631573829
179,Yellowknife,62.456,-114.3525,55.92,76,75,8.05,CA,1631573732
180,Beloha,-25.1667,45.05,71.76,51,74,5.32,MG,1631573833
181,Darnah,32.767,22.6367,75.47,71,4,16.51,LY,1631573836
182,Thompson,55.7435,-97.8558,50.16,100,90,4.61,CA,1631573168
183,Nishihara,26.1842,127.7558,79.88,89,75,20.71,JP,1631573840
184,Jiazi,22.8779,116.067,83.37,81,100,5.08,CN,1631573841
185,Mareeba,-17.0,145.4333,76.48,44,6,3.78,AU,1631573844
186,Witu,-2.3889,40.4382,75.2,85,96,13.4,KE,1631573846
187,Alofi,-19.0595,-169.9187,76.89,94,5,5.75,NU,1631573850
188,Kuytun,54.3419,101.5036,43.29,92,100,10.18,RU,1631573853
189,São Filipe,14.8961,-24.4956,79.84,81,83,0.16,CV,1631573806
190,Alice Springs,-23.7,133.8833,58.55,26,4,12.66,AU,1631573857
191,Besuki,-7.7338,113.6979,77.88,81,48,1.95,ID,1631573845
192,Deputatsky,69.3,139.9,48.0,50,88,1.5,RU,1631573860
193,Okhotsk,59.3833,143.3,58.19,54,8,2.66,RU,1631573863
194,Port Macquarie,-31.4333,152.9167,51.76,81,56,11.59,AU,1631573738
195,Spitsevka,45.1231,42.5125,63.01,72,68,2.04,RU,1631573867
196,Mount Isa,-20.7333,139.5,71.37,17,40,9.22,AU,1631573870
197,Hīt,33.6416,42.8251,83.79,30,0,8.57,IQ,1631573340
198,Geraldton,-28.7667,114.6,39.61,93,0,6.91,AU,1631573873
199,Nioki,-2.7167,17.6833,74.28,77,42,2.93,CD,1631573875
200,Hithadhoo,-0.6,73.0833,82.9,75,9,10.02,MV,1631573878
201,Kaeo,-35.1,173.7833,63.32,90,88,9.01,NZ,1631573879
202,Lüderitz,-26.6481,15.1594,53.37,74,0,14.18,NA,1631573357
203,Ribeira Grande,38.5167,-28.7,71.98,94,58,6.96,PT,1631573883
204,Seymchan,62.8833,152.4333,51.26,43,28,1.19,RU,1631573885
205,Port Hardy,50.6996,-127.4199,55.58,82,90,4.61,CA,1631573888
206,Cockburn Town,21.4612,-71.1419,76.96,78,75,12.66,TC,1631573891
207,Kimbe,-5.5502,150.1429,85.24,67,69,4.61,PG,1631573893
208,Santa Fe,-31.6333,-60.7,68.0,74,0,10.0,AR,1631573896
209,French Harbor,16.35,-86.4333,89.6,82,20,5.01,HN,1631573898
210,Micheweni,-4.9667,39.8333,75.02,82,43,11.61,TZ,1631573900
211,Castro,-24.7911,-50.0119,70.23,44,70,4.25,BR,1631573903
212,Bayir,37.2687,28.2167,61.32,61,2,2.35,TR,1631573906
213,Potosí,-19.5836,-65.7531,54.23,19,100,8.95,BO,1631573755
214,Krasnokamensk,50.0979,118.0369,48.74,86,13,2.57,RU,1631573910
215,Grenå,56.4158,10.8783,57.85,77,44,6.46,DK,1631573912
216,Kharp,66.8014,65.8081,36.48,93,100,11.25,RU,1631573915
217,Samoylovka,51.184,43.7081,60.01,57,99,7.61,RU,1631573919
219,Dakoro,14.5106,6.765,88.56,48,77,9.55,NE,1631573925
220,Korla,41.7597,86.1469,67.23,44,0,8.55,CN,1631573927
221,Torbay,47.6666,-52.7314,61.57,75,90,19.57,CA,1631573929
222,Norman Wells,65.282,-126.8329,57.24,58,20,6.91,CA,1631573932
223,Zhangjiakou,40.81,114.8794,65.59,90,100,4.88,CN,1631573757
224,Chute-aux-Outardes,49.1168,-68.399,62.58,59,75,9.22,CA,1631573937
225,Svolvær,68.2342,14.5683,40.37,73,12,3.13,NO,1631573939
226,Tautira,-17.7333,-149.15,82.42,80,41,18.16,PF,1631573942
227,Sandwick,60.0,-1.25,53.42,82,96,10.36,GB,1631573945
228,Lusambo,-4.9667,23.45,72.64,78,11,2.26,CD,1631573947
229,Yambio,4.5721,28.3955,66.88,97,90,2.28,SS,1631573919
230,Northam,51.0333,-4.2167,61.09,94,100,2.91,GB,1631573951
231,Beroun,49.9638,14.072,61.0,99,70,3.27,CZ,1631573954
232,Kamenka,51.3223,42.7678,60.15,60,79,9.15,RU,1631573956
233,Skwierzyna,52.5991,15.5065,52.68,80,39,2.91,PL,1631573959
234,Talnakh,69.4865,88.3972,43.68,81,98,11.01,RU,1631573915
235,Acapulco de Juárez,16.8634,-99.8901,80.2,85,92,5.46,MX,1631573740
236,Khandagayty,50.7333,92.05,39.87,82,18,8.61,RU,1631573964
237,Vila Velha,-20.3297,-40.2925,75.15,83,0,17.27,BR,1631573755
238,Kindu,-2.95,25.95,71.96,78,12,1.12,CD,1631573829
239,Solnechnyy,50.7214,136.6319,51.67,55,0,0.96,RU,1631573969
240,Nyurba,63.2842,118.3319,49.26,84,92,4.79,RU,1631573970
241,Eenhana,-17.4667,16.3333,67.6,19,0,7.18,NA,1631573973
242,Bambous Virieux,-20.3428,57.7575,71.22,68,20,9.22,MU,1631573976
243,Łobez,53.6392,15.6213,56.91,91,0,3.04,PL,1631573979
244,Yerofey Pavlovich,53.9667,121.9667,48.61,96,72,1.48,RU,1631573982
245,Kapit,2.0167,112.9333,72.5,99,100,0.76,MY,1631573810
246,Labuhan,-6.8844,112.2051,78.87,84,94,6.71,ID,1631573987
247,Ostrovnoy,68.0531,39.5131,41.74,81,95,18.34,RU,1631573989
248,Amuntai,-2.4177,115.2494,74.3,93,67,1.03,ID,1631573991
249,Ayan,56.45,138.1667,58.82,59,0,2.66,RU,1631573994
250,Tuatapere,-46.1333,167.6833,44.82,69,87,0.54,NZ,1631573996
251,Chifeng,42.2683,118.9636,59.13,66,97,0.6,CN,1631573757
252,Vurğun,41.0942,45.4716,68.29,63,29,3.96,AZ,1631573999
253,Dakar,14.6937,-17.4441,81.48,85,99,15.61,SN,1631574007
254,Yar-Sale,66.8333,70.8333,42.42,98,100,11.77,RU,1631574011
255,Prince Rupert,54.3161,-130.3201,53.8,89,100,5.77,CA,1631574014
256,Tasiilaq,65.6145,-37.6368,35.33,69,87,4.18,GL,1631574017
257,Bethel,41.3712,-73.414,78.93,77,29,3.89,US,1631574019
258,Nouakchott,18.0858,-15.9785,84.13,79,50,22.28,MR,1631573827
259,Half Moon Bay,37.4636,-122.4286,96.58,67,1,9.22,US,1631574023
260,Kazygurt,41.7589,69.3864,58.93,22,0,3.65,KZ,1631574025
261,Mount Gambier,-37.8333,140.7667,46.31,93,90,4.61,AU,1631573752
262,Bara,10.3744,10.7288,73.22,94,98,4.9,NG,1631574028
263,Dinguiraye,11.3,-10.7167,71.31,89,83,2.21,GN,1631574031
264,Jalu,29.0331,21.5482,76.51,63,0,12.95,LY,1631574034
265,Arauca,7.0847,-70.7591,77.94,85,51,3.69,CO,1631574036
266,Puerto Carreño,6.189,-67.4859,79.27,79,48,8.72,CO,1631574039
267,Nirgua,10.1553,-68.5663,69.94,89,95,1.14,VE,1631573936
268,San Vicente,-26.6167,-54.1333,68.76,75,79,2.51,AR,1631573808
269,Leningradskiy,69.3833,178.4167,29.08,68,9,4.88,RU,1631574045
270,Monroe,43.1501,-77.6831,70.29,72,90,4.61,US,1631574048
271,Cayenne,4.9333,-52.3333,82.09,81,20,1.01,GF,1631574050
272,Faya,18.3851,42.4509,69.48,31,10,3.91,SA,1631574053
273,Nola,40.922,14.5329,73.58,67,7,1.86,IT,1631574056
274,Piaçabuçu,-10.4056,-36.4344,74.55,89,17,9.04,BR,1631574059
275,Pocatello,42.8713,-112.4455,79.72,24,6,1.01,US,1631574006
276,‘Ewa Beach,21.3156,-158.0072,84.02,64,1,16.28,US,1631574063
277,Merauke,-8.4667,140.3333,80.62,80,94,11.74,ID,1631574056
278,Saint Paul Harbor,57.79,-152.4072,52.45,74,99,13.78,US,1631574067
279,São João da Barra,-21.6403,-41.0511,73.87,86,0,21.25,BR,1631574070
280,Coquimbo,-29.9533,-71.3436,57.06,69,0,9.37,CL,1631574073
281,Gitarama,-2.0744,29.7567,60.96,65,68,3.42,RW,1631574075
282,Ciudad Bolivar,8.1222,-63.5497,86.49,52,100,4.23,VE,1631573785
283,Pacific Grove,36.6177,-121.9166,93.15,78,25,7.0,US,1631574080
284,Charters Towers,-20.1,146.2667,78.73,37,36,11.65,AU,1631574082
286,San Patricio,28.017,-97.5169,82.81,83,100,20.47,US,1631574086
287,Nagato,34.3833,131.2,70.74,92,100,9.44,JP,1631574088
288,Tual,-5.6667,132.75,80.74,82,55,12.88,ID,1631574089
289,Fershampenuaz,53.5202,59.8117,49.08,68,49,10.8,RU,1631574091
290,Pavullo nel Frignano,44.3315,10.835,65.91,57,15,6.02,IT,1631574094
291,Urengoy,65.9667,78.3667,38.8,93,100,5.7,RU,1631574096
292,São Félix do Xingu,-6.6447,-51.995,81.25,50,79,2.04,BR,1631573822
293,Show Low,34.2542,-110.0298,89.29,19,1,8.05,US,1631574101
294,Huarmey,-10.0681,-78.1522,63.41,81,48,10.76,PE,1631574104
295,Lagoa,39.05,-27.9833,70.09,92,87,13.76,PT,1631574106
296,Gerāsh,27.6652,54.1371,81.03,31,1,2.35,IR,1631574109
297,Santa Rosa,14.3122,121.1114,81.1,87,94,4.05,PH,1631574111
298,São Gabriel da Cachoeira,-0.1303,-67.0892,75.52,89,58,3.94,BR,1631574113
299,Airai,-8.9266,125.4092,65.5,69,37,3.29,TL,1631574116
300,Sur,22.5667,59.5289,86.5,52,100,4.47,OM,1631574117
301,Yangi Marg`ilon,40.4272,71.7189,62.02,28,0,3.78,UZ,1631574123
302,Tezu,27.9167,96.1667,77.11,73,4,4.29,IN,1631574124
303,Bubaque,11.2833,-15.8333,79.12,82,100,5.5,GW,1631574126
304,Turukhansk,65.8167,87.9833,39.87,91,100,9.1,RU,1631574128
305,Humaitá,-7.5061,-63.0208,81.52,60,54,5.03,BR,1631574131
306,Cuauhtémoc,28.4167,-106.8667,75.42,26,0,5.17,MX,1631574134
307,Xunchang,28.4543,104.715,72.54,96,98,0.49,CN,1631574137
308,Kargat,55.1956,80.2811,40.03,72,100,10.71,RU,1631574138
309,Caravelas,-17.7125,-39.2481,74.1,83,0,9.08,BR,1631574142
310,Farafangana,-22.8167,47.8333,67.48,90,41,6.06,MG,1631574145
311,Kosh-Agach,50.0,88.6667,29.3,64,1,2.24,RU,1631574147
312,Mayumba,-3.432,10.6554,75.79,88,90,4.68,GA,1631574149
313,Banjar,-8.19,114.9675,78.66,87,43,2.93,ID,1631574152
314,Denpasar,-8.65,115.2167,78.46,100,40,5.75,ID,1631574002
315,Pokaran,26.9167,71.9167,86.14,65,20,8.59,IN,1631574154
316,Tabou,4.423,-7.3528,76.96,90,91,6.11,CI,1631573898
317,Port Elizabeth,-33.918,25.5701,56.1,95,100,11.56,ZA,1631574157
318,Vidalia,32.2177,-82.4135,86.05,65,1,0.0,US,1631574160
319,Steinbach am Taunus,50.1667,8.5667,63.91,81,0,9.22,DE,1631574162
320,Natitingou,10.3042,1.3796,72.7,90,86,4.05,BJ,1631574165
321,Bereda,43.2686,-7.5406,66.42,100,100,1.7,ES,1631574167
322,Kumul,42.8,93.45,66.87,32,33,4.92,CN,1631573952
323,Beaumont,30.0861,-94.1019,78.84,78,90,11.5,US,1631574087
324,Kilindoni,-7.9139,39.6668,76.14,76,26,13.44,TZ,1631574173
325,General Higinio Morínigo,-25.95,-55.9167,85.53,36,86,2.75,PY,1631574176
326,Iiyama,36.85,138.3667,71.15,76,100,2.77,JP,1631574050
327,Baruun-Urt,46.6806,113.2792,52.27,48,95,6.08,MN,1631573905
328,Soe,-9.8607,124.284,71.17,72,34,3.58,ID,1631574181
329,Uray,60.1247,64.7758,32.02,93,7,4.47,RU,1631574183
330,Mar del Plata,-38.0023,-57.5575,55.42,54,0,6.91,AR,1631574186
331,Fayetteville,35.0527,-78.8784,88.32,50,1,1.01,US,1631574026
332,Roseburg,43.2165,-123.3417,78.64,29,1,9.22,US,1631574190
333,Bintulu,3.1667,113.0333,74.48,95,100,3.85,MY,1631574192
334,Poum,-20.2333,164.0167,75.27,81,6,14.47,NC,1631574193
335,Farap,39.1704,63.6116,66.2,34,0,11.5,TM,1631574195
336,Kiryat Gat,31.61,34.7642,81.39,64,0,3.89,IL,1631574198
337,Msanga,-6.05,36.0333,64.92,67,30,7.7,TZ,1631574201
338,Ambilobe,-13.2,49.05,68.83,70,21,4.5,MG,1631574205
339,Karīmganj,24.8667,92.35,77.02,95,100,2.13,IN,1631574207
340,Ucluelet,48.9329,-125.5528,72.09,73,93,6.71,CA,1631574209
341,Bose,45.4612,8.0137,70.48,70,79,4.61,IT,1631574211
342,Sukumo,32.9333,132.7333,69.87,92,100,8.52,JP,1631574214
343,Harindānga,22.0383,88.3214,80.58,92,100,12.44,IN,1631574216
344,Buala,-8.145,159.5921,84.02,72,63,10.76,SB,1631574217
345,Komsomol'skoye,55.2567,47.5461,62.65,65,77,13.76,RU,1631574220
346,Henties Bay,-22.116,14.2845,53.85,92,2,9.17,NA,1631574223
347,Matamoros,25.5333,-103.25,89.71,30,40,0.0,MX,1631574226
348,Kushima,31.4583,131.2333,73.44,94,100,11.39,JP,1631574228
349,Salalah,17.0151,54.0924,80.69,89,75,2.3,OM,1631574230
350,Tambun,-6.2641,107.0712,75.24,94,40,5.75,ID,1631574232
351,Talisay City,10.2447,123.8494,77.02,88,90,2.3,PH,1631573989
352,Dwārka,22.2394,68.9678,80.85,87,100,19.84,IN,1631574235
353,Caborca,30.5838,-111.101,97.48,19,0,7.16,MX,1631574237
354,Baghdad,33.3406,44.4009,80.51,47,0,8.05,IQ,1631574239
355,Yulara,-25.2406,130.9889,60.44,25,27,15.14,AU,1631574086
356,Sitka,57.0531,-135.33,55.29,82,90,4.61,US,1631574243
357,Porto Murtinho,-21.6989,-57.8825,97.86,22,55,7.63,BR,1631574246
358,Gobabis,-22.45,18.9667,64.53,22,14,6.64,NA,1631574248
359,Hobyo,5.3505,48.5268,76.87,80,81,25.97,SO,1631574251
